"Title","Date","Location"
"Comicpalooza 2019","May 10-12, 2019","George R. Brown Convention CenterHouston, TX"
"OutlantaCon 2019","May 10-12, 2019","Renaissance Concourse Atlanta Airport HotelAtlanta, GA"
"Sabaku Con 2019","May 10-12, 2019","Albuquerque Marriott Pyramid NorthAlbuquerque, NM"
"Dragon Ball & Heroes Con 2019","May 11, 2019","The Big Fresno FairFresno, CA"
"AMG-Chan 2019","May 11-12, 2019","Quill Convention CentreKuala Lumpur, Malaysia"
"Harucon 2019","May 11-12, 2019","Messehalle KlagenfurtKlagenfurt am Wörthersee, Austria"
"MegaCon Orlando 2019","May 16-19, 2019","Orange County Convention CenterOrlando, FL"
"Japanese Anime & Manga Arts Festival 2019","May 17-18, 2019","Everett Community College, Henry M. Jackson Conference CenterEverett, WA"
"Anime Central 2019","May 17-19, 2019","Donald E. Stephens Convention Center / Hyatt Regency O'HareRosemont, IL"
"J-Popcon 2019","May 17-19, 2019","DGI-byenCopenhagen, Denmark"
,"May 17-19, 2019","Provincetown InnProvincetown, MA"
"Otafest 2019","May 17-19, 2019","Calgary Telus Convention CentreCalgary, AB, Canada"
"IberAnime Lx 2019","May 18-19, 2019","Feira Internacional de LisboaLisbon, Portugal"
"Yorkshire Cosplay Con 2019","May 18-19, 2019","Fly DSA ArenaSheffield, UK"
"CloverCon 2019","May 19, 2019","Ted Blum 4-H CenterBridgewater, NJ"
,"May 19, 2019","University of Maryland, Adele H. Stamp Student UnionCollege Park, MD"
"Animazement 2019","May 23-26, 2019","Raleigh Convention CenterRaleigh, NC"
"CoreCon 2019","May 23-26, 2019","Ramada by Wyndham FargoFargo, ND"
"MomoCon 2019","May 23-26, 2019","Georgia World Congress CenterAtlanta, GA"
"Anime North 2019","May 24-26, 2019","Toronto Congress Center / Delta Hotels by Marriott Toronto Airport & Conference CentreToronto, ON, Canada"
"Animefest 2019","May 24-26, 2019","Výstaviště BrnoBrno, Czech Republic"
"AniMinneapolis 2019","May 24-26, 2019","Hyatt Regency MinneapolisMinneapolis, MN"
"Mobicon 2019","May 24-26, 2019","Renaissance Mobile Riverview Plaza HotelMobile, AL"
"Thy Geekdom Con 2019","May 24-26, 2019","The Greater Philadelphia Expo CenterOaks, PA"
"Anime Oasis 2019","May 24-27, 2019","The Grove Hotel / CenturyLink Arena Boise / Boise CentreBoise, ID"
"FanimeCon 2019","May 24-27, 2019","San Jose McEnery Convention CenterSan Jose, CA"
"Anime Park 2019","May 25, 2019","Canton High SchoolCanton, MI"
"County Pop Culture Con 2019","May 25, 2019","Lake County FairgroundsGrayslake, IL"
"Gas City Entertainment Expo 2019","May 25, 2019","Medicine Hat Exhibition & StampedeMedicine Hat, AB, Canada"
"AmiKon 2019","May 25-26, 2019","Dublin City University, The UDublin, Ireland"
"Madman Anime Festival Brisbane 2019","May 25-26, 2019","Brisbane Convention & Exhibition CentreSouth Brisbane, Queensland, Australia"
"Mizucon 2019","May 26-27, 2019","Hilton Miami Airport Blue LagoonMiami, FL"
"Colossalcon 2019","May 30 - June 2, 2019","Kalahari Resort and Convention CenterSandusky, OH"
"Anime Conji 2019","May 31 - June 2, 2019","San Diego Marriott Mission ValleySan Diego, CA"
"GalaxyCon Richmond 2019","May 31 - June 2, 2019","Greater Richmond Convention CenterRichmond, VA"
"Fanfest (Ponoka) 2019","June 1, 2019","Ponoka Jubilee LibaryPonoka, AB, Canada"
"Expo Comics Cancun 2019","June 1-2, 2019","Cancún ICCCancún, QR, Mexico"
"Japan Addict 2019","June 1-2, 2019","Zénith EuropeStrasbourg, France"
"Mack Weekend 2019","June 1-2, 2019","Haus InternationalKempten, BY, Germany"
"Armageddon Christchurch 2019","June 1-3, 2019","Horncastle ArenaChristchurch, New Zealand"
"Sawa Con 2019","June 7-8, 2019","Clarion Inn & Suites Conference CenterCovington, LA"
"AnimeNEXT 2019","June 7-9, 2019","Atlantic City Convention CenterAtlantic City, NJ"
"Indy PopCon 2019","June 7-9, 2019","Indiana Convention CenterIndianapolis, IN"
"JAFAX 2019","June 7-9, 2019","Amway Grand Plaza Hotel / DeVos PlaceGrand Rapids, MI"
"OMG!Con 2019","June 7-9, 2019","Owensboro Convention CenterOwensboro, KY"
"SacAnime 2019","June 7-9, 2019","Sacramento Convention Center / Sheraton Grand SacramentoSacramento, CA"
"Gamga Con 2019","June 8, 2019","Greensboro Public Library - Central LibraryGreensboro, NC"
"Ronin-Expo 2019","June 8, 2019","Japanese American Cultural & Community CenterLos Angeles, CA"
"Armageddon Tauranga 2019","June 8-9, 2019","ASB Baypark ArenaTauranga, New Zealand"
"DoKomi 2019","June 8-9, 2019","Congress Center DüsseldorfDüsseldorf, Germany"
"Liverpool Anime & Gaming Con 2019","June 8-9, 2019","Liverpool Marriott Hotel City CentreLiverpool, UK"
"Oz Comic-Con: Melbourne 2019","June 8-9, 2019","Melbourne Convention and Exhibition CentreMelbourne, Victoria, Australia"
"Anime Matsuri 2019","June 13-16, 2019","George R. Brown Convention CenterHouston, TX"
"Anime Ink 2019","June 14-16, 2019","Greater Richmond Convention CenterRichmond, VA"
"AnimeCon 2019","June 14-16, 2019","Rotterdam AhoyRotterdam, Netherlands"
"YetiCon 2019","June 14-16, 2019","Blue Mountain ResortThe Blue Mountains, ON, Canada"
"ArlingCon 2019","June 15, 2019","University of Texas at Arlington University CenterArlington, TX"
"Tosho-con 2019","June 15, 2019","East Orange Public LibraryEast Orange, NJ"
"Arkansas Anime Festival 2019","June 21-23, 2019","DoubleTree Suites by Hilton Hotel Bentonville / Four Points by Sheraton BentonvilleBentonville, AR"
