"Title","Country","City","Organizer","Venue","Address","Summary","Name","Start_Date","End_Date","Text","Website","Facebook","Twitter"
"Comic Market / Comic Market","Japan / Japan / 日本","Tokyo","Comic Market Committee","Tokyo Big Sight","Tokyo Big Sight Inc. 3-11-1 Ariake, Koto-ku, Tokyo, Japan 135-0063","コミックマーケットは、40年を越える歴史をもつマンガ・アニメ・ゲーム及びその周辺ジャンルに関する同人誌の展示即売会です。2016年冬で91回の開催となり、3日間で、のべ入場者数約55万人、参加サークル数約3万5千、のべ約3万人弱のコスプレイヤーといういずれも日本最大規模で開催されている、自由で多様な表現の「場」です。また、150社を越えるコンテンツホルダ及び関連企業による企業ブースも併設され、マンガ・アニメ・ゲームファンにとっての夏冬のお祭り的な存在でもあります。""","Comic Market C97 / Comic Market C97","2019-12-28","2019-12-31","Start Time: 10:00 / End Time: 16:00""コミックマーケットは、40年を越える歴史をもつマンガ・アニメ・ゲーム及びその周辺ジャンルに関する同人誌の展示即売会です。2016年冬で91回の開催となり、3日間で、のべ入場者数約55万人、参加サークル数約3万5千、のべ約3万人弱のコスプレイヤーといういずれも日本最大規模で開催されている、自由で多様な表現の「場」です。また、150社を越えるコンテンツホルダ及び関連企業による企業ブースも併設され、マンガ・アニメ・ゲームファンにとっての夏冬のお祭り的な存在でもあります。""","http://www.comiket.co.jp/","https://www.facebook.com/ComicMarketOfficial/","https://twitter.com/comiketofficial"
"Nico Nico Chokaigi / Nico Nico Chokaigi","Japan / Japan / 日本","Chiba","Dwango","Makuhari Messe","Japan,Chiba-ken, Chiba-shi, Mihama-ku, Nakase 2-1","RECREATE NICONICO’S WORLD IN REAL LIFE!Niconico Chokaigi is an unprecedented festival presented by Japan’s largest video social website Niconico and is based on the concept of recreating Niconico’s world in real life. We offer a wide variety of  Niconico’s video contents, such as Game, Anime, Vocaloid, Dance, Cosplay, Kabuki, Railway, Politics, Technology, Creatures, Sports and more, in the form of participatory attractions! In other words, Niconico Chokaigi is the melting pot of Japan’s internet culture, where people of all ages can enjoy face-to-face communication.ニコニコ超会議は、登録会員数5000万人を超える「ニコニコ動画（通称：ニコ動、niconico）」のすべて（だいたい）を地上に再現するニコニコ最大のイベントです。毎回、2日間で15万人以上が来場し、インターネット上で600万人以上が視聴しました。ニコニコ動画内クリエイターの発表の場というだけでなく、大学・研究機関・企業・政党・大相撲・アイドルetc..、多彩なな個人・団体・企業の知恵を凝らした幅広い展示・公演が行われています。","ニコニコ超会議 2019 / Nico Nico Chokaigi 2019","2019-04-27","2019-04-28","Start Time: 10:00 / End Time: 17:00RECREATE NICONICO’S WORLD IN REAL LIFE!Niconico Chokaigi is an unprecedented festival presented by Japan’s largest video social website Niconico and is based on the concept of recreating Niconico’s world in real life. We offer a wide variety of  Niconico’s video contents, such as Game, Anime, Vocaloid, Dance, Cosplay, Kabuki, Railway, Politics, Technology, Creatures, Sports and more, in the form of participatory attractions! In other words, Niconico Chokaigi is the melting pot of Japan’s internet culture, where people of all ages can enjoy face-to-face communication.ニコニコ超会議は、登録会員数5000万人を超える「ニコニコ動画（通称：ニコ動、niconico）」のすべて（だいたい）を地上に再現するニコニコ最大のイベントです。毎回、2日間で15万人以上が来場し、インターネット上で600万人以上が視聴しました。ニコニコ動画内クリエイターの発表の場というだけでなく、大学・研究機関・企業・政党・大相撲・アイドルetc..、多彩なな個人・団体・企業の知恵を凝らした幅広い展示・公演が行われています。","http://www.chokaigi.jp/","https://twitter.com/chokaigi_PR",
"A Taste of Animethon / A Taste of Animethon","Canada / Canada / カナダ","Edmonton","Alberta Society for Asian Popular Arts (ASAPA)","Shaw Conference Center","9797 Jasper Ave, Edmonton, AB T5J 1N9","Animethon started back in 1994 by the Banzai Anime Klub of Alberta (BAKA), with the intent of promoting Japanese anime. It became a success by presenting well-known and more obscure anime to audiences, and has since grown to what it is now. Today, Animethon is presented by the not-for-profit Alberta Society for Asian Popular Arts (ASAPA).A Taste of Animethon was first created in 2010. While nowhere near the size of Animethon itself it's been a successful event in its own right with a steadily growing attendance. In 2013 we moved venues to the Ramada Inn and Conference Centre. In 2016 we moved to the Shaw Conference Centre so we could enjoy a larger venue!Animethonは1994年にBanzai Anime Club of Alberta（BAKA）によって、日本アニメを広めるために始まったイベントです。有名無名のアニメを参加者に供給する中で現在の規模にまで拡大しました。Animethonは非営利の団体、Alberta Society for Asian Popular Arts（ASAPA）によって催されています。A Taste of Animethonは2010年に初めて開催され、本家Animethonよりは小規模ながら、順調に参加者数を伸ばしています。2013年には会場をRamada Inn and Conference Centerに移し、2016年にはさらに大規模なShaw Conference Centerにて開催されました。","A Taste of Animethon 2017 / A Taste of Animethon 2017","2017-01-20","2017-01-21","Start Time: 16:00 / End Time: 23:00Animethon started back in 1994 by the Banzai Anime Klub of Alberta (BAKA), with the intent of promoting Japanese anime. It became a success by presenting well-known and more obscure anime to audiences, and has since grown to what it is now. Today, Animethon is presented by the not-for-profit Alberta Society for Asian Popular Arts (ASAPA).A Taste of Animethon was first created in 2010. While nowhere near the size of Animethon itself it's been a successful event in its own right with a steadily growing attendance. In 2013 we moved venues to the Ramada Inn and Conference Centre. In 2016 we moved to the Shaw Conference Centre so we could enjoy a larger venue!Animethonは1994年にBanzai Anime Club of Alberta（BAKA）によって、日本アニメを広めるために始まったイベントです。有名無名のアニメを参加者に供給する中で現在の規模にまで拡大しました。Animethonは非営利の団体、Alberta Society for Asian Popular Arts（ASAPA）によって催されています。A Taste of Animethonは2010年に初めて開催され、本家Animethonよりは小規模ながら、順調に参加者数を伸ばしています。2013年には会場をRamada Inn and Conference Centerに移し、2016年にはさらに大規模なShaw Conference Centerにて開催されました。","http://atoa.animethon.org/","https://www.facebook.com/animethon/","http://twitter.com/ANIMETHON_ASAPA"
"Animazement / Animazement","United States of America / United States of America / 米国","Raleigh","Educational Growth Across Oceans (EGAO)","Raleigh Convention Center","500 South Salisbury Street","The mission of Animazement is to provide an introduction to Japanese Language and Culture, through the world of Japanese Animation and Manga. For three days each spring, a diverse group of attendees, volunteers, special Japanese and American guests, panelists, and our staff come together to share in celebrating Japanese entertainment and visual culture. Our activities span the various genres of anime, manga, video games, J-pop/J-rock, martial arts, traditional arts and crafts, and more in a family-friendly, festival-like atmosphere. Sure, it’s a party, but it is our sincere hope that everyone who attends Animazement will learn something and leave with a greater sense of cultural understanding and appreciation for Japanese Culture and Language.Animazementのミッションは日本の言語と文化を、アニメや漫画を通じて紹介することです。3日間のイベントの期間中には多様なファン、ボランティア、日本やアメリカからのゲストやパネリスト、そしてスタッフにより日本のエンターテインメントと映像文化を楽しむために集います。イベント内での企画は、アニメ、漫画、ビデオゲームからJ-POP、武芸、伝統工芸など幅広いジャンルをカバーし、家族向きの、お祭りのような雰囲気の中で行われます。このイベントはパーティーであると同時に、参加者が何かを学び、日本の文化理解を深めるための学びの場でもあります。","Animazement 2019 / Animazement 2019","2019-05-24","2019-05-26","Start Time:  10:00 / End Time: 17:00The mission of Animazement is to provide an introduction to Japanese Language and Culture, through the world of Japanese Animation and Manga. For three days each spring, a diverse group of attendees, volunteers, special Japanese and American guests, panelists, and our staff come together to share in celebrating Japanese entertainment and visual culture. Our activities span the various genres of anime, manga, video games, J-pop/J-rock, martial arts, traditional arts and crafts, and more in a family-friendly, festival-like atmosphere. Sure, it’s a party, but it is our sincere hope that everyone who attends Animazement will learn something and leave with a greater sense of cultural understanding and appreciation for Japanese Culture and Language.Animazementのミッションは日本の言語と文化を、アニメや漫画を通じて紹介することです。3日間のイベントの期間中には多様なファン、ボランティア、日本やアメリカからのゲストやパネリスト、そしてスタッフにより日本のエンターテインメントと映像文化を楽しむために集います。イベント内での企画は、アニメ、漫画、ビデオゲームからJ-POP、武芸、伝統工芸など幅広いジャンルをカバーし、家族向きの、お祭りのような雰囲気の中で行われます。このイベントはパーティーであると同時に、参加者が何かを学び、日本の文化理解を深めるための学びの場でもあります。","http://www.animazement.org/","https://www.facebook.com/animazement","https://twitter.com/animazement"
"Anime Boston / Anime Boston","United States of America / United States of America / 米国","Boston","New England Anime Society","John B. Hynes Convention Center","900 Boylston St, Boston, MA 02115","Anime Boston is a three-day convention held annually in Boston, Massachusetts, USA under the supervision of the New England Anime Society. Our focus is to celebrate and promote Japanese animation, comics, and pop-culture.This event has been a cornerstone of the North East Anime Convention circuit since our inaugural event in April, 2003. Following unprecedented growth, we quickly outgrew the space in the Boston Park Plaza Hotel and moved to the Hynes Convention Center in 2005. The Hynes Convention Center and Sheraton Boston have allowed us to grow in ways we could not have imagined since the idea was first conceived.While the main focus on Anime Boston has always been Japanese animation and comics, we have expanded to include other aspects of Japanese pop-culture: J-Pop, J-Rock, and live-action Japanese media. We have also delved into Japanese history and traditional culture, thus encouraging people to develop a more well-rounded perspective.Over 350 staff members work to make this convention possible. On top of that, everyone is a volunteer; no one gets paid for what they do. We all participate because we are also fans (and might be a little crazy). We work year-round to prepare for each convention; in fact, planning for the next year begins before the previous one is even over! Our staff is incredibly diverse and comes from all walks of life and experiences. The hard work and dedication of our staff members ensures that we put on the best show possible.Of course, Anime Boston would not be the success it has become without the support of its members and fans. Starting with a staggering 4,000 members in 2003 (an incredible feat for a brand new convention), by 2012 we had expanded to welcome more than 22,000 people over the weekend. The majority of our panels are actually presented by members who just want to share their passions with the larger community. Having members organize some of the programming for Anime Boston gives everyone a sense of community and belonging at our event.We, the staff of Anime Boston and the New England Anime Society, thank you for taking interest in our convention. Your excitement helps energize everyone and spreads the word to new people. We hope to see you there!Anime Bostonはアメリカのマサチューセッツ州ボストンで、New England Anime Societyの監督のもと毎年行われる三日間に渡るイベントです。我々の目的は日本のアニメ、漫画、ポップカルチャーを楽しみ、盛り上げてゆくことにあります。このイベントは2003年四月の開始以来、北東アメリカのアニメイベントの中で重要な地位を占めてきました。参加人数の大幅な増加と共に、場所をBoston Park Plaza HotelからHynes Convention CenterとSheraton Bostonへ移し、初年度には想像もしなかった規模にまで拡大しました。日本文化と漫画だけでなく、J-PopやJ-Rock、実写メディアを含んだ日本文化全体へジャンルを拡大し、参加者の日本の歴史や伝統文化への包括的理解を促進しています。350人を超えるスタッフは全員がボランティアです。皆がアニメを愛するファンであるがゆえに一年を通してこのイベントの企画に力を注ぎます。翌年のイベントの企画は、その年のイベントが終了してすぐに始まります。スタッフは実に多様な経歴を持っており、最良の企画を実現するために努力しています。もちろん、このイベントはスタッフだけでなくファンのサポートによって成り立っています。2003年には4000人からスタートしたイベントは、2012年には22,000人を超える参加者を記録しました。パネルイベントも、有志のファンによって行われており、一人一人がコミュニティに属しているのだという思いを持ってイベントに参加しています。我々Anime BostonのスタッフとNew England Anime Societyはこのイベントに関心を示してくださる全ての方に感謝してします。皆さんが、また新たな友人をこのイベントに呼んでくださり、より多くの方々とイベントの場で会えることを楽しみにしています。","Anime Boston Day / Anime Boston Day","2018-12-01","2018-12-01","Start Time: 9:00 / End Time: 15:30Anime Boston is a three-day convention held annually in Boston, Massachusetts, USA under the supervision of the New England Anime Society. Our focus is to celebrate and promote Japanese animation, comics, and pop-culture.This event has been a cornerstone of the North East Anime Convention circuit since our inaugural event in April, 2003. Following unprecedented growth, we quickly outgrew the space in the Boston Park Plaza Hotel and moved to the Hynes Convention Center in 2005. The Hynes Convention Center and Sheraton Boston have allowed us to grow in ways we could not have imagined since the idea was first conceived.While the main focus on Anime Boston has always been Japanese animation and comics, we have expanded to include other aspects of Japanese pop-culture: J-Pop, J-Rock, and live-action Japanese media. We have also delved into Japanese history and traditional culture, thus encouraging people to develop a more well-rounded perspective.Over 350 staff members work to make this convention possible. On top of that, everyone is a volunteer; no one gets paid for what they do. We all participate because we are also fans (and might be a little crazy). We work year-round to prepare for each convention; in fact, planning for the next year begins before the previous one is even over! Our staff is incredibly diverse and comes from all walks of life and experiences. The hard work and dedication of our staff members ensures that we put on the best show possible.Of course, Anime Boston would not be the success it has become without the support of its members and fans. Starting with a staggering 4,000 members in 2003 (an incredible feat for a brand new convention), by 2012 we had expanded to welcome more than 22,000 people over the weekend. The majority of our panels are actually presented by members who just want to share their passions with the larger community. Having members organize some of the programming for Anime Boston gives everyone a sense of community and belonging at our event.We, the staff of Anime Boston and the New England Anime Society, thank you for taking interest in our convention. Your excitement helps energize everyone and spreads the word to new people. We hope to see you there!Anime Bostonはアメリカのマサチューセッツ州ボストンで、New England Anime Societyの監督のもと毎年行われる三日間に渡るイベントです。我々の目的は日本のアニメ、漫画、ポップカルチャーを楽しみ、盛り上げてゆくことにあります。このイベントは2003年四月の開始以来、北東アメリカのアニメイベントの中で重要な地位を占めてきました。参加人数の大幅な増加と共に、場所をBoston Park Plaza HotelからHynes Convention CenterとSheraton Bostonへ移し、初年度には想像もしなかった規模にまで拡大しました。日本文化と漫画だけでなく、J-PopやJ-Rock、実写メディアを含んだ日本文化全体へジャンルを拡大し、参加者の日本の歴史や伝統文化への包括的理解を促進しています。350人を超えるスタッフは全員がボランティアです。皆がアニメを愛するファンであるがゆえに一年を通してこのイベントの企画に力を注ぎます。翌年のイベントの企画は、その年のイベントが終了してすぐに始まります。スタッフは実に多様な経歴を持っており、最良の企画を実現するために努力しています。もちろん、このイベントはスタッフだけでなくファンのサポートによって成り立っています。2003年には4000人からスタートしたイベントは、2012年には22,000人を超える参加者を記録しました。パネルイベントも、有志のファンによって行われており、一人一人がコミュニティに属しているのだという思いを持ってイベントに参加しています。我々Anime BostonのスタッフとNew England Anime Societyはこのイベントに関心を示してくださる全ての方に感謝してします。皆さんが、また新たな友人をこのイベントに呼んでくださり、より多くの方々とイベントの場で会えることを楽しみにしています。","http://www.animeboston.com/","https://www.facebook.com/AnimeBoston","https://twitter.com/AnimeBoston"
"Anime Central / Anime Central","United States of America / United States of America / 米国","Rosemont","Midwest Animation Promotion Society","Donald E. Stephens Convention Center",,"The Anime Central Event – also known as ACen – is the Largest Anime and Manga Convention in the Midwest.  Anime Central provides a place for fans of Asian and associated American media to gather and celebrate the culture and fandom.  With the goal of creating a safe, unique, and family-friendly environment for all ages and backgrounds, Anime Central uses mediums such as anime, manga, games, music, and cultural exploration as tools to expose its members and the general public to this fandom while adapting to their everchanging culture.  The Event brings in premiere Exhibitors, Panels, Autograph sessions, Artists, Cultural Guests, exclusive premiers and screenings to give members the chance to fully immerse themselves in the culture they adore; ACen brings the best of Anime & Manga to the Windy City!通称Acenとしても親しまれているアニメセントラルは、アメリカ中西部最大のアニメ・漫画コンベンションです。アジアやアメリカのアニメコンテンツを愛好するファンが集う場として、安全で独特で家族連れにも優しい、どんな年代や文化背景の人でも楽しめるようなイベントを企画しています。 アニメセントラルは、アニメや漫画、ゲーム、音楽、そして文化体験を、ファンコミュニティや一般の人々をこの奥深いオタクコミュニティへの入り口として用い、常に最新のトレンドを取り入れた特別展覧会、パネル展示、サイン会、ゲスト講演、プレミア上映などで参加者を楽しませています。Acenは風の街で最高のアニメ・漫画イベントです！","Anime Central 2019 / Anime Central 2019","2018-05-18","2018-05-20","Start Time: 10:00 / End Time: 16:00The Anime Central Event – also known as ACen – is the Largest Anime and Manga Convention in the Midwest.  Anime Central provides a place for fans of Asian and associated American media to gather and celebrate the culture and fandom.  With the goal of creating a safe, unique, and family-friendly environment for all ages and backgrounds, Anime Central uses mediums such as anime, manga, games, music, and cultural exploration as tools to expose its members and the general public to this fandom while adapting to their everchanging culture.  The Event brings in premiere Exhibitors, Panels, Autograph sessions, Artists, Cultural Guests, exclusive premiers and screenings to give members the chance to fully immerse themselves in the culture they adore; ACen brings the best of Anime & Manga to the Windy City!通称Acenとしても親しまれているアニメセントラルは、アメリカ中西部最大のアニメ・漫画コンベンションです。アジアやアメリカのアニメコンテンツを愛好するファンが集う場として、安全で独特で家族連れにも優しい、どんな年代や文化背景の人でも楽しめるようなイベントを企画しています。 アニメセントラルは、アニメや漫画、ゲーム、音楽、そして文化体験を、ファンコミュニティや一般の人々をこの奥深いオタクコミュニティへの入り口として用い、常に最新のトレンドを取り入れた特別展覧会、パネル展示、サイン会、ゲスト講演、プレミア上映などで参加者を楽しませています。Acenは風の街で最高のアニメ・漫画イベントです！","http://www.acen.org","https://www.facebook.com/AnimeCentral","https://twitter.com/animecentral"
"Anime Detour / Anime Detour","United States of America / United States of America / 米国","Minneapolis","Anime Twin Cities, Inc.","DoubleTree by Hilton7800 Normandale Boulevard  Minneapolis, MN 55439USA",,"Anime Detour is an annual three-day anime convention held in Minneapolis, Minnesota.Anime Detour is presented and ran by the non-profit organization Anime Twin Cities, Inc.Anime Detour's offerings include a Cosplay competition, Masquerade, a Charity Auction, workshops, an Exhibition hall, video games/tournaments as well as tabletop and card based games. an Artist Alley guest panels, video rooms and room parties.Anime Detourは、ミネソタ州ミネアポリスで開催される年1回のコンベンションで、毎年3日間開催されます。Anime Detourは、非営利団体Anime Twin Cities、Inc.によって運営・開催されています。Anime Detourは、コスプレコンペ、マスカレード、チャリティーオークション、ワークショップ、展示ホール、ビデオゲーム/トーナメント、卓上およびカードベースのゲームなどのエリアを提供しています。その他に Artist Alleyゲストパネル、ビデオルーム、ルームパーティーなどがあります。","Anime Detour 2020 / Anime Detour 2020","2020-04-03","2020-04-05","Start Time: 09:00 / End Time: 19:00Anime Detourは、ミネソタ州ミネアポリスで開催される年1回のコンベンションで、毎年3日間開催されます。Anime Detourは、非営利団体Anime Twin Cities、Inc.によって運営・開催されています。Anime Detourは、コスプレコンペ、マスカレード、チャリティーオークション、ワークショップ、展示ホール、ビデオゲーム/トーナメント、卓上およびカードベースのゲームなどのエリアを提供しています。その他に Artist Alleyゲストパネル、ビデオルーム、ルームパーティーなどがあります。","https://www.animedetour.com/",,
"Anime Midwest / Anime Midwest","United States of America / United States of America / 米国","Chicago","Chrono, LC","Hyatt Regency O'Hare & Convntion Center",,"Anime Midwest is a three-day anime con with tons of anime events, organized by fans for fans. We have lots of cosplay events, several anime screenings, free Mt. Dew for all congoers, lots of panels, video game events, and a lot more. Our Chicago anime con brings together thousands of fans to celebrate Japanese animation, and some other fandoms, over a three-day-long weekend.We at AnimeCon.org organize several conventions a year with the goal of bringing an incredible experience to fans. In an area with many anime conventions, our events are always rated by attendees as among the best events around.Anime Midwestはファン主催となって、ファンのために開催するアニメイベントで、シカゴにて三日間開催しています。Anime Midwestでは、コスプレイベントやアニメの上映会、ドリンクの無料配布、パネルレクチャー、ビデオゲームイベントなどを行っています。本イベントは日本のアニメを愛好する人を中心に、多くのオタク達が集う場になっています。私たちAnimeCon.orgはファンのために年数回のアニメイベントを企画しています。シカゴでは複数のアニメイベントが開催されていますが、Anime Midwestは素晴らしいイベントの一つと評価されています。","Anime Midwest 2019 / Anime Midwest 2019","2019-07-05","2019-07-07","Start Time: 10:00 / End Time: 19:00Anime Midwest is a three-day anime con with tons of anime events, organized by fans for fans. We have lots of cosplay events, several anime screenings, free Mt. Dew for all congoers, lots of panels, video game events, and a lot more. Our Chicago anime con brings together thousands of fans to celebrate Japanese animation, and some other fandoms, over a three-day-long weekend.We at AnimeCon.org organize several conventions a year with the goal of bringing an incredible experience to fans. In an area with many anime conventions, our events are always rated by attendees as among the best events around.Anime Midwestはファン主催となって、ファンのために開催するアニメイベントで、シカゴにて三日間開催しています。Anime Midwestでは、コスプレイベントやアニメの上映会、ドリンクの無料配布、パネルレクチャー、ビデオゲームイベントなどを行っています。本イベントは日本のアニメを愛好する人を中心に、多くのオタク達が集う場になっています。私たちAnimeCon.orgはファンのために年数回のアニメイベントを企画しています。シカゴでは複数のアニメイベントが開催されていますが、Anime Midwestは素晴らしいイベントの一つと評価されています。","http://www.animemidwest.com/","https://www.facebook.com/animemidwest/","https://twitter.com/animemidwest"
"Anime North / Anime North","Canada / Canada / カナダ","Toronto","Anime North","Toronto Congress Center",,"Anime North is a non-profit, fan-run anime convention, held every yearin Toronto, Ontario, Canada. Its major attractions, activities andevents include a Masquerade, a Dealers Room, an Artists Alley, Guestof Honor presentations, Gaming (Video and RPG), Panel Discussions,Video Presentations, Contests, Dances, and our special Nominoichi. Thelargest anime convention in Canada by attendance numbers and locatednear Toronto Pearson International Airport, Anime North is hosted inseven venues: at the Toronto Congress Centre, Delta Hotels by MarriottToronto Airport & Conference Centre, Sheraton Toronto Airport Hotel &Conference Centre, Holiday Inn Toronto Airport East, Crowne PlazaToronto Airport, Radisson Suite Hotel Toronto Airport, and the HolidayInn Toronto International Airport. All of which are located closetogether and convention-run shuttle buses, and city buses, are available during daytime and the evening to connect the venues.","Anime North 2019 / Anime North 2019","2019-05-24","2019-05-26","Start Time:  17:00 / End Time:  17:00Anime North is a non-profit, fan-run anime convention, held every yearin Toronto, Ontario, Canada. Its major attractions, activities andevents include a Masquerade, a Dealers Room, an Artists Alley, Guestof Honor presentations, Gaming (Video and RPG), Panel Discussions,Video Presentations, Contests, Dances, and our special Nominoichi. Thelargest anime convention in Canada by attendance numbers and locatednear Toronto Pearson International Airport, Anime North is hosted inseven venues: at the Toronto Congress Centre, Delta Hotels by MarriottToronto Airport & Conference Centre, Sheraton Toronto Airport Hotel &Conference Centre, Holiday Inn Toronto Airport East, Crowne PlazaToronto Airport, Radisson Suite Hotel Toronto Airport, and the HolidayInn Toronto International Airport. All of which are located closetogether and convention-run shuttle buses, and city buses, are available during daytime and the evening to connect the venues.","http://www.animenorth.com/live/","http://www.facebook.com/AnimeNorthCompass","https://twitter.com/anime_north/"
"Anime Shogatsu / Anime Shogatsu","Canada / Canada / カナダ","Toronto","Anime Shogatsu","The Michener Institute",,"Anime Shogatsu is an annual, one day anime convention organized by the Anime Shogatsu Committee.The convention is held around January time to celebrate the Japanese New Year and Otaku culture. Anime Shogatsu was started in January 2016, in Toronto, Ontario, Canada. Anime Shogatsu's program includes a Gaming room (Rhythm games, Video Games, Beyblade Competition), Dealer's room & Artist's Alley (Anime Artists, Toys, Posters), a Maid Cafe, and several panel rooms (Kimono panel, Anime Karaoke).Anime Shogatsuは毎年1月に新年の日本のオタク文化を祝うために開かれます。Shogatsuは2016年1月にカナダのオンタリオ州トロントで始まり、ゲームコーナーや物販、同人ブース二メイドカフェ、パネル展示などのスペースがあります。","Anime Shogatsu 2019 / Anime Shogatsu 2018","2019-01-19","2019-01-19","Start Time: 09:00 / End Time: 21:00Anime Shogatsu is an annual, one day anime convention organized by the Anime Shogatsu Committee.The convention is held around January time to celebrate the Japanese New Year and Otaku culture. Anime Shogatsu was started in January 2016, in Toronto, Ontario, Canada. Anime Shogatsu's program includes a Gaming room (Rhythm games, Video Games, Beyblade Competition), Dealer's room & Artist's Alley (Anime Artists, Toys, Posters), a Maid Cafe, and several panel rooms (Kimono panel, Anime Karaoke).Anime Shogatsuは毎年1月に新年の日本のオタク文化を祝うために開かれます。Shogatsuは2016年1月にカナダのオンタリオ州トロントで始まり、ゲームコーナーや物販、同人ブース二メイドカフェ、パネル展示などのスペースがあります。","http://animeshogatsu.com/","https://www.facebook.com/animeshogatsu","https://twitter.com/animeshogatsu"
